,symbol,max,min,ult,mov,moneda,fecha,hora,origen
41,ELE.MC,18.45499992370605,17.899999618530273,18.3700008392334,1.6320888732619352,Euro,2021-10-13,12:54:34,YahooFinance
42,ELE.MC,19.040000915527344,18.364999771118164,18.84499931335449,2.1409134638545595,Euro,2021-10-14,12:54:34,YahooFinance
43,ELE.MC,19.040000915527344,18.6200008392334,18.65999984741211,-1.763627149356893,Euro,2021-10-15,12:54:34,YahooFinance
44,ELE.MC,18.78499984741211,18.549999237060547,18.645000457763672,0.0,Euro,2021-10-18,12:54:34,YahooFinance
45,ELE.MC,19.170000076293945,18.825000762939453,19.0,0.1845496816794565,Euro,2021-10-19,12:54:34,YahooFinance
46,ELE.MC,19.149999618530277,18.63500022888184,19.040000915527344,2.00910785751978,Euro,2021-10-20,12:54:34,YahooFinance
47,ELE.MC,19.165000915527344,18.895000457763672,19.075000762939453,0.2364691259602835,Euro,2021-10-21,12:54:34,YahooFinance
48,ELE.MC,19.225000381469727,18.959999084472656,19.065000534057617,0.3949487300864547,Euro,2021-10-22,12:54:34,YahooFinance
49,ELE.MC,19.18000030517578,18.989999771118164,19.01499938964844,-0.5751665900735361,Euro,2021-10-25,12:54:34,YahooFinance
50,ELE.MC,19.489999771118164,19.020000457763672,19.415000915527344,2.076763660657221,Euro,2021-10-26,12:54:34,YahooFinance
51,ELE.MC,19.809999465942383,19.315000534057617,19.809999465942383,2.113401316876775,Euro,2021-10-27,12:54:34,YahooFinance
52,ELE.MC,20.040000915527344,19.7549991607666,19.920000076293945,-0.3999996185302734,Euro,2021-10-28,12:54:34,YahooFinance
53,ELE.MC,20.049999237060547,19.815000534057617,19.94499969482422,-0.0250680096440163,Euro,2021-10-29,12:54:34,YahooFinance
54,ELE.MC,20.07999992370605,19.88999938964844,20.07999992370605,0.6768625266856674,Euro,2021-11-01,12:54:34,YahooFinance
55,ELE.MC,20.18000030517578,19.959999084472656,20.18000030517578,0.6985997168291789,Euro,2021-11-02,12:54:34,YahooFinance
56,ELE.MC,20.1299991607666,19.8700008392334,20.0,0.0,Euro,2021-11-03,12:54:34,YahooFinance
57,ELE.MC,19.95499992370605,19.25,19.76499938964844,-0.1767669129330045,Euro,2021-11-04,12:54:34,YahooFinance
58,ELE.MC,20.200000762939453,19.88500022888184,20.0,0.0,Euro,2021-11-05,12:54:34,YahooFinance
59,ELE.MC,20.09000015258789,19.6299991607666,19.63999938964844,-1.89810718994201,Euro,2021-11-08,12:54:34,YahooFinance
60,GRF.MC,22.63999938964844,22.020000457763672,22.030000686645508,-1.6517809740437883,Euro,2021-09-28,12:54:34,YahooFinance
